temp,temp_min,temp_max,description,mainDescription,speed,deg,dt_txt,humidity,rain
4,4,4,broken clouds,Clouds,11,240,2018/01/01 00:00,80,0
4.43,4,5,light rain,Rain,13,240,2018/01/01 01:00,80,0
4,4,4,scattered clouds,Clouds,10,240,2018/01/01 02:00,86,0
4.43,4,5,light intensity shower rain,Rain,12,250,2018/01/01 03:00,80,0
4.43,4,5,scattered clouds,Clouds,9,240,2018/01/01 04:00,80,0
5,5,5,broken clouds,Clouds,10,240,2018/01/01 05:00,80,0
5,5,5,broken clouds,Clouds,7,230,2018/01/01 06:00,80,0
4.43,4,5,broken clouds,Clouds,6,230,2018/01/01 07:00,80,0
4,4,4,broken clouds,Clouds,6,230,2018/01/01 08:00,86,0
4,4,4,broken clouds,Clouds,6,240,2018/01/01 09:00,86,0
4.43,4,5,scattered clouds,Clouds,8,240,2018/01/01 10:00,80,0
5.43,5,6,broken clouds,Clouds,10,250,2018/01/01 11:00,81,0
6.43,6,7,broken clouds,Clouds,13,260,2018/01/01 12:00,75,0
7,7,7,light intensity shower rain,Rain,13,280,2018/01/01 13:00,81,0
7.13,6,8,light intensity shower rain,Rain,13,280,2018/01/01 14:00,87,0
7,7,7,light intensity shower rain,Rain,9,280,2018/01/01 15:00,81,0
7,7,7,broken clouds,Clouds,11,280,2018/01/01 16:00,81,0
6,6,6,few clouds,Clouds,9,280,2018/01/01 17:00,81,0
5.57,5,6,few clouds,Clouds,7,280,2018/01/01 18:00,86,0
5,5,5,few clouds,Clouds,6,260,2018/01/01 19:00,86,0
5,5,5,scattered clouds,Clouds,7,270,2018/01/01 20:00,80,0
5,5,5,scattered clouds,Clouds,7,260,2018/01/01 21:00,75,0
4,4,4,scattered clouds,Clouds,8,260,2018/01/01 22:00,80,0
3,3,3,scattered clouds,Clouds,7,260,2018/01/01 23:00,100,0
3.57,3,4,scattered clouds,Clouds,6,250,2018/01/02 00:00,100,0
3.43,3,4,broken clouds,Clouds,5,250,2018/01/02 01:00,100,0
4,4,4,broken clouds,Clouds,5,240,2018/01/02 02:00,100,0
4.57,4,5,broken clouds,Clouds,3,210,2018/01/02 03:00,100,0
4.57,4,5,broken clouds,Clouds,2,160,2018/01/02 04:00,100,0
5.57,5,6,broken clouds,Clouds,4,150,2018/01/02 05:00,75,0
6.13,5,7,light rain,Rain,4,150,2018/01/02 06:00,75,0
6.57,6,7,moderate rain,Rain,4,160,2018/01/02 07:00,87,0
6.57,6,7,light rain,Rain,6,150,2018/01/02 08:00,93,0
8,8,8,light rain,Rain,5,180,2018/01/02 09:00,87,0
9,9,9,light rain,Rain,10,220,2018/01/02 10:00,87,0
9,9,9,scattered clouds,Clouds,9,240,2018/01/02 11:00,87,0
9.49,9,10,broken clouds,Clouds,10,250,2018/01/02 12:00,81,0
9.49,9,10,broken clouds,Clouds,11,250,2018/01/02 13:00,76,0
9.49,9,10,proximity shower rain,Rain,9,250,2018/01/02 14:00,76,0
9,9,9,light rain,Rain,9,230,2018/01/02 15:00,81,0
8,8,8,light rain,Rain,7,220,2018/01/02 16:00,93,0
8,8,8,light rain,Rain,6,190,2018/01/02 17:00,93,0
8,8,8,light rain,Rain,5,150,2018/01/02 18:00,93,0
10.43,10,11,light intensity drizzle,Drizzle,10,210,2018/01/02 19:00,81,0
10,10,10,light intensity shower rain,Rain,15,250,2018/01/02 20:00,76,0
8.43,8,9,broken clouds,Clouds,17,250,2018/01/02 21:00,70,0
8,8,8,light intensity shower rain,Rain,15,260,2018/01/02 22:00,75,0
6,6,6,light intensity shower rain,Rain,14,260,2018/01/02 23:00,87,0
5,5,5,shower rain,Rain,12,250,2018/01/03 00:00,86,0
5,5,5,broken clouds,Clouds,11,250,2018/01/03 01:00,80,0
5,5,5,light intensity shower rain,Rain,12,250,2018/01/03 02:00,80,0
5.43,5,6,scattered clouds,Clouds,13,250,2018/01/03 03:00,81,0
5.57,5,6,light intensity shower rain,Rain,15,270,2018/01/03 04:00,86,0
5,5,5,light intensity shower rain,Rain,13,260,2018/01/03 05:00,86,0
5.43,5,6,scattered clouds,Clouds,10,250,2018/01/03 06:00,81,0
6,6,6,shower rain,Rain,10,250,2018/01/03 07:00,87,0
6.43,6,7,broken clouds,Clouds,15,260,2018/01/03 08:00,75,0
6.49,6,7,light intensity shower rain,Rain,11,250,2018/01/03 09:00,81,0
6.49,6,7,few clouds,Clouds,13,250,2018/01/03 10:00,75,0
6.49,6,7,light intensity shower rain,Rain,14,260,2018/01/03 11:00,81,0
6.49,6,7,light intensity shower rain,Rain,11,250,2018/01/03 12:00,81,0
7,7,7,light intensity shower rain,Rain,12,250,2018/01/03 13:00,87,0
7.51,7,8,proximity shower rain,Rain,11,250,2018/01/03 14:00,87,0
7.49,7,8,light intensity shower rain,Rain,13,250,2018/01/03 15:00,75,0
8,8,8,broken clouds,Clouds,13,250,2018/01/03 16:00,75,0
8,8,8,broken clouds,Clouds,13,250,2018/01/03 17:00,75,0
8,8,8,broken clouds,Clouds,12,250,2018/01/03 18:00,75,0
7,7,7,broken clouds,Clouds,13,250,2018/01/03 19:00,81,0
7,7,7,broken clouds,Clouds,11,260,2018/01/03 20:00,81,0
7,7,7,scattered clouds,Clouds,11,250,2018/01/03 21:00,81,0
7,7,7,scattered clouds,Clouds,10,250,2018/01/03 22:00,75,0
6,6,6,scattered clouds,Clouds,8,240,2018/01/03 23:00,81,0
6,6,6,scattered clouds,Clouds,6,230,2018/01/04 00:00,81,0
6,6,6,broken clouds,Clouds,6,230,2018/01/04 01:00,87,0
6,6,6,broken clouds,Clouds,4,230,2018/01/04 02:00,81,0
5,5,5,moderate rain,Rain,4,210,2018/01/04 03:00,86,0
4,4,4,moderate rain,Rain,1,0,2018/01/04 04:00,93,0
4,4,4,moderate rain,Rain,6,140,2018/01/04 05:00,93,0
4,4,4,rain and drizzle,Drizzle,8,130,2018/01/04 06:00,100,0
5,5,5,rain and drizzle,Drizzle,10,150,2018/01/04 07:00,93,0
7.7,6,9,broken clouds,Clouds,5,150,2018/01/04 08:00,93,0
9.51,9,10,broken clouds,Clouds,5,220,2018/01/04 09:00,87,0
9,9,9,broken clouds,Clouds,7,240,2018/01/04 10:00,87,0
7.49,7,8,light rain,Rain,10,250,2018/01/04 11:00,93,0
5,5,5,scattered clouds,Clouds,14,290,2018/01/04 12:00,80,0
5,5,5,light intensity drizzle,Drizzle,11,280,2018/01/04 13:00,86,0
6,6,6,scattered clouds,Clouds,13,280,2018/01/04 14:00,81,0
6,6,6,broken clouds,Clouds,11,280,2018/01/04 15:00,81,0
6,6,6,few clouds,Clouds,9,270,2018/01/04 16:00,75,0
5.43,5,6,scattered clouds,Clouds,7,250,2018/01/04 17:00,75,0
5,5,5,broken clouds,Clouds,7,250,2018/01/04 18:00,86,0
5,5,5,broken clouds,Clouds,9,260,2018/01/04 19:00,86,0
5,5,5,broken clouds,Clouds,3,220,2018/01/04 20:00,80,0
4.43,4,5,broken clouds,Clouds,4,230,2018/01/04 21:00,80,0
4,4,4,scattered clouds,Clouds,4,240,2018/01/04 22:00,86,0
4.43,4,5,broken clouds,Clouds,4,220,2018/01/04 23:00,80,0
4,4,4,broken clouds,Clouds,3,220,2018/01/05 00:00,86,0
4,4,4,broken clouds,Clouds,2,230,2018/01/05 01:00,86,0
4,4,4,broken clouds,Clouds,2,270,2018/01/05 02:00,86,0
4,4,4,broken clouds,Clouds,3,260,2018/01/05 03:00,86,0
3,3,3,broken clouds,Clouds,3,270,2018/01/05 04:00,93,0
2,2,2,broken clouds,Clouds,3,280,2018/01/05 05:00,93,0
2,2,2,broken clouds,Clouds,3,270,2018/01/05 06:00,93,0
2,2,2,few clouds,Clouds,4,270,2018/01/05 07:00,93,0
2,2,2,scattered clouds,Clouds,4,260,2018/01/05 08:00,93,0
2,2,2,broken clouds,Clouds,4,250,2018/01/05 09:00,93,0
2,2,2,broken clouds,Clouds,4,240,2018/01/05 10:00,93,0
3,3,3,broken clouds,Clouds,4,250,2018/01/05 11:00,86,0
4.01,3,5,broken clouds,Clouds,4,240,2018/01/05 12:00,86,0
5,5,5,broken clouds,Clouds,4,230,2018/01/05 13:00,80,0
6.49,6,7,broken clouds,Clouds,4,230,2018/01/05 14:00,70,0
6,6,6,broken clouds,Clouds,5,230,2018/01/05 15:00,75,0
5,5,5,scattered clouds,Clouds,2,190,2018/01/05 16:00,80,0
5,5,5,scattered clouds,Clouds,2,200,2018/01/05 17:00,80,0
4,4,4,scattered clouds,Clouds,3,210,2018/01/05 18:00,80,0
4,4,4,broken clouds,Clouds,2,170,2018/01/05 19:00,80,0
3.57,3,4,broken clouds,Clouds,3,150,2018/01/05 20:00,86,0
2.7,1,4,broken clouds,Clouds,3,140,2018/01/05 21:00,100,0
2.26,0,4,Sky is Clear,Clear,2,140,2018/01/05 22:00,100,0
0.7,-1,2,broken clouds,Clouds,0,360,2018/01/05 23:00,100,0
1.13,0,2,broken clouds,Clouds,2,100,2018/01/06 00:00,100,0
0.57,0,1,broken clouds,Clouds,2,20,2018/01/06 01:00,100,0
0.13,-1,1,broken clouds,Clouds,3,40,2018/01/06 02:00,100,0
1.87,1,3,broken clouds,Clouds,4,60,2018/01/06 03:00,93,0
2.87,2,4,scattered clouds,Clouds,5,50,2018/01/06 04:00,86,0
3.87,3,5,broken clouds,Clouds,6,60,2018/01/06 05:00,80,0
4.87,4,6,broken clouds,Clouds,7,50,2018/01/06 06:00,75,0
5,5,5,broken clouds,Clouds,7,50,2018/01/06 07:00,75,0
5.57,5,6,broken clouds,Clouds,8,50,2018/01/06 08:00,80,0
5.57,5,6,broken clouds,Clouds,8,50,2018/01/06 09:00,75,0
5.57,5,6,broken clouds,Clouds,8,50,2018/01/06 10:00,75,0
6,6,6,broken clouds,Clouds,8,60,2018/01/06 11:00,75,0
6,6,6,broken clouds,Clouds,10,60,2018/01/06 12:00,70,0
6,6,6,light intensity shower rain,Rain,9,50,2018/01/06 13:00,75,0
6,6,6,proximity shower rain,Rain,9,60,2018/01/06 14:00,100,0
5.57,5,6,broken clouds,Clouds,10,50,2018/01/06 15:00,100,0
5,5,5,broken clouds,Clouds,7,50,2018/01/06 16:00,100,0
4.57,4,5,broken clouds,Clouds,7,50,2018/01/06 17:00,69,0
5,5,5,broken clouds,Clouds,7,60,2018/01/06 18:00,100,0
5,5,5,light intensity shower rain,Rain,6,60,2018/01/06 19:00,100,0
4.57,4,5,broken clouds,Clouds,7,70,2018/01/06 20:00,100,0
4,4,4,broken clouds,Clouds,5,60,2018/01/06 21:00,100,0
3.57,3,4,scattered clouds,Clouds,4,60,2018/01/06 22:00,100,0
3.57,3,4,few clouds,Clouds,5,50,2018/01/06 23:00,100,0
3,3,3,few clouds,Clouds,5,60,2018/01/07 00:00,100,0
3,3,3,light intensity shower rain,Rain,4,50,2018/01/07 01:00,100,0
3,3,3,scattered clouds,Clouds,4,40,2018/01/07 02:00,86,0
